Topic,Title,Authors,Publication,Date,Citations
natural language processing,"A comprehensive review on Arabic offensive language and hate speech detection on social media: methods, challenges and solutions",Abdelsamie M.M.,Social Network Analysis and Mining,2024-12-01,0
natural language processing,Large language models present new questions for decision support,Handler A.,International Journal of Information Management,2024-12-01,0
natural language processing,Interdisciplinary approach to identify language markers for post-traumatic stress disorder using machine learning and deep learning,Quillivic R.,Scientific Reports,2024-12-01,0
natural language processing,Explanatory argumentation in natural language for correct and incorrect medical diagnoses,Molinet B.,Journal of Biomedical Semantics,2024-12-01,0
natural language processing,"Predicting multi-label emojis, emotions, and sentiments in code-mixed texts using an emojifying sentiments framework",Singh G.V.,Scientific Reports,2024-12-01,0
natural language processing,ChineseEEG: A Chinese Linguistic Corpora EEG Dataset for Semantic Alignment and Neural Decoding,Mou X.,Scientific Data,2024-12-01,0
natural language processing,Role of machine learning algorithms in suicide risk prediction: a systematic review-meta analysis of clinical studies,Ehtemam H.,BMC Medical Informatics and Decision Making,2024-12-01,0
natural language processing,Exploring the roles of ribosomal peptides in prokaryote-phage interactions through deep learning-enabled metagenome mining,Gao Y.,Microbiome,2024-12-01,0
natural language processing,ChatGPT performance on radiation technologist and therapist entry to practice exams,Duggan R.,Journal of Medical Imaging and Radiation Sciences,2024-12-01,0
natural language processing,Uncovering the essence of diverse media biases from the semantic embedding space,Huang H.,Humanities and Social Sciences Communications,2024-12-01,0
natural language processing,Generative design of compounds with desired potency from target protein sequences using a multimodal biochemical language model,Chen H.,Journal of Cheminformatics,2024-12-01,0
natural language processing,A machine learning approach towards reviewing the role of ‘Internet of Things’ in the shipping industry,Gerakoudi K.,Journal of Shipping and Trade,2024-12-01,0
natural language processing,"Public attitudes toward chatgpt on twitter: sentiments, topics, and occupations",Koonchanok R.,Social Network Analysis and Mining,2024-12-01,0
natural language processing,Predicting recurrent chat contact in a psychological intervention for the youth using natural language processing,Hornstein S.,npj Digital Medicine,2024-12-01,0
natural language processing,A reduced proteomic signature in critically ill Covid-19 patients determined with plasma antibody micro-array and machine learning,Patel M.A.,Clinical Proteomics,2024-12-01,0
natural language processing,StrokeClassifier: ischemic stroke etiology classification by ensemble consensus modeling using electronic health records,Lee H.J.,npj Digital Medicine,2024-12-01,0
natural language processing,Identification of patients’ smoking status using an explainable AI approach: a Danish electronic health records case study,Ebrahimi A.,BMC Medical Research Methodology,2024-12-01,0
natural language processing,"LexiSNTAGMM: an unsupervised framework for sentiment classification in data from distinct domains, synergistically integrating dictionary-based and machine learning approaches",Bashiri H.,Social Network Analysis and Mining,2024-12-01,0
natural language processing,A fuel consumption-based method for developing local-specific CO<inf>2</inf> emission rate database using open-source big data,Li L.,Journal of Big Data,2024-12-01,0
natural language processing,Evaluating the OpenAI’s GPT-3.5 Turbo’s performance in extracting information from scientific articles on diabetic retinopathy,Gue C.C.Y.,Systematic Reviews,2024-12-01,0
natural language processing,An innovative method to strengthen evidence for potential drug safety signals using Electronic Health Records,Abedian Kalkhoran H.,Journal of Medical Systems,2024-12-01,0
natural language processing,An in-depth evaluation of federated learning on biomedical natural language processing for information extraction,Peng L.,npj Digital Medicine,2024-12-01,0
natural language processing,Mechanisms upholding the persistence of stigma across 100 years of historical text,Charlesworth T.E.S.,Scientific Reports,2024-12-01,0
computer vision,Enhanced Segmentation of Ischemic Stroke Lesion in MRI Images Using a Geometrically Customised Deep Convolution Model (GCDCM),Bhuvana R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0
computer vision,Machine learning-assisted fluorescence visualization for sequential quantitative detection of aluminum and fluoride ions,Zhang Q.,Journal of Environmental Sciences (China),2025-03-01,0
computer vision,Analyzing the Impact of Loss Functions on Dehazing Effectiveness and Unveiling the Discrepancy between Quantitative and Qualitative Results,Murtaza A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0
computer vision,Image Style Transfer Based On Generative Adversarial Network And Feature Transformation For Modern Home Design,Yue G.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Development Of An AMR Applying Cartographer Combined With Visual Odometry For Navigation,Huang C.C.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Relationship between spectral indices and quality parameters of tifton 85 forage,Souza J.F.,Revista Caatinga,2024-12-21,0
computer vision,RadioGalaxyNET: Dataset and novel computer vision algorithms for the detection of extended radio galaxies and infrared hosts,Gupta N.,Publications of the Astronomical Society of Australia,2024-12-11,1
computer vision,Fingerprint recognition using convolution neural network with inversion and augmented techniques,Garg R.,Systems and Soft Computing,2024-12-01,0
computer vision,Sgrgan: sketch-guided restoration for traditional Chinese landscape paintings,Hu Q.,Heritage Science,2024-12-01,0
computer vision,Light People: Professor Fanglin Bao and his cover story,Wang J.,Light: Science and Applications,2024-12-01,0
computer vision,Zero-shot insect detection via weak language supervision,Feuer B.,Plant Phenome Journal,2024-12-01,0
computer vision,Sign language recognition based on dual-path background erasure convolutional neural network,Zhang J.,Scientific Reports,2024-12-01,0
computer vision,A baseline structure inventory with critical attribution for the US and its territories,Yang H.L.,Scientific Data,2024-12-01,0
computer vision,Contagious infection-free medical interaction system with machine vision controlled by remote hand gesture during an operation,Truong V.D.,Computational and Structural Biotechnology Journal,2024-12-01,0
computer vision,Autonomous navigation and collision prediction of port channel based on computer vision and lidar,Zhang Z.,Scientific Reports,2024-12-01,0
computer vision,The Poses for Equine Research Dataset (PFERD),Li C.,Scientific Data,2024-12-01,0
computer vision,Optimizing deep learning-based segmentation of densely packed cells using cell surface markers,Han S.,BMC Medical Informatics and Decision Making,2024-12-01,0
computer vision,Molecular fingerprinting of biological nanoparticles with a label-free optofluidic platform,Stollmann A.,Nature Communications,2024-12-01,0
computer vision,Robust detection and refinement of saliency identification,Makram A.W.,Scientific Reports,2024-12-01,0
computer vision,Multi-class identification of tonal contrasts in Chokri using supervised machine learning algorithms,Gope A.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,A modular motion compensation pipeline for prospective respiratory motion correction of multi-nuclear MR spectroscopy,Wampl S.,Scientific Reports,2024-12-01,0
computer vision,Web-based diagnostic platform for microorganism-induced deterioration on paper-based cultural relics with iterative training from human feedback,Liu C.,Heritage Science,2024-12-01,0
computer vision,"An STS analysis of a digital humanities collaboration: trading zones, boundary objects, and interactional expertise in the DECRYPT project",Láng B.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,Computer vision models enable mixed linear modeling to predict arbuscular mycorrhizal fungal colonization using fungal morphology,Zhang S.,Scientific Reports,2024-12-01,0
computer vision,Ηand dexterities assessment in stroke patients based on augmented reality and machine learning through a box and block test,Papagiannis G.,Scientific Reports,2024-12-01,0
computer vision,Enhanced Segmentation of Ischemic Stroke Lesion in MRI Images Using a Geometrically Customised Deep Convolution Model (GCDCM),Bhuvana R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0
computer vision,Machine learning-assisted fluorescence visualization for sequential quantitative detection of aluminum and fluoride ions,Zhang Q.,Journal of Environmental Sciences (China),2025-03-01,0
computer vision,Analyzing the Impact of Loss Functions on Dehazing Effectiveness and Unveiling the Discrepancy between Quantitative and Qualitative Results,Murtaza A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0
computer vision,Image Style Transfer Based On Generative Adversarial Network And Feature Transformation For Modern Home Design,Yue G.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Development Of An AMR Applying Cartographer Combined With Visual Odometry For Navigation,Huang C.C.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Relationship between spectral indices and quality parameters of tifton 85 forage,Souza J.F.,Revista Caatinga,2024-12-21,0
computer vision,RadioGalaxyNET: Dataset and novel computer vision algorithms for the detection of extended radio galaxies and infrared hosts,Gupta N.,Publications of the Astronomical Society of Australia,2024-12-11,1
computer vision,Fingerprint recognition using convolution neural network with inversion and augmented techniques,Garg R.,Systems and Soft Computing,2024-12-01,0
computer vision,Sgrgan: sketch-guided restoration for traditional Chinese landscape paintings,Hu Q.,Heritage Science,2024-12-01,0
computer vision,Light People: Professor Fanglin Bao and his cover story,Wang J.,Light: Science and Applications,2024-12-01,0
computer vision,Zero-shot insect detection via weak language supervision,Feuer B.,Plant Phenome Journal,2024-12-01,0
computer vision,Sign language recognition based on dual-path background erasure convolutional neural network,Zhang J.,Scientific Reports,2024-12-01,0
computer vision,A baseline structure inventory with critical attribution for the US and its territories,Yang H.L.,Scientific Data,2024-12-01,0
computer vision,Contagious infection-free medical interaction system with machine vision controlled by remote hand gesture during an operation,Truong V.D.,Computational and Structural Biotechnology Journal,2024-12-01,0
computer vision,Autonomous navigation and collision prediction of port channel based on computer vision and lidar,Zhang Z.,Scientific Reports,2024-12-01,0
computer vision,The Poses for Equine Research Dataset (PFERD),Li C.,Scientific Data,2024-12-01,0
computer vision,Optimizing deep learning-based segmentation of densely packed cells using cell surface markers,Han S.,BMC Medical Informatics and Decision Making,2024-12-01,0
computer vision,Molecular fingerprinting of biological nanoparticles with a label-free optofluidic platform,Stollmann A.,Nature Communications,2024-12-01,0
computer vision,Robust detection and refinement of saliency identification,Makram A.W.,Scientific Reports,2024-12-01,0
computer vision,Multi-class identification of tonal contrasts in Chokri using supervised machine learning algorithms,Gope A.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,A modular motion compensation pipeline for prospective respiratory motion correction of multi-nuclear MR spectroscopy,Wampl S.,Scientific Reports,2024-12-01,0
computer vision,Web-based diagnostic platform for microorganism-induced deterioration on paper-based cultural relics with iterative training from human feedback,Liu C.,Heritage Science,2024-12-01,0
computer vision,"An STS analysis of a digital humanities collaboration: trading zones, boundary objects, and interactional expertise in the DECRYPT project",Láng B.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,Computer vision models enable mixed linear modeling to predict arbuscular mycorrhizal fungal colonization using fungal morphology,Zhang S.,Scientific Reports,2024-12-01,0
computer vision,Ηand dexterities assessment in stroke patients based on augmented reality and machine learning through a box and block test,Papagiannis G.,Scientific Reports,2024-12-01,0
computer vision,Enhanced Segmentation of Ischemic Stroke Lesion in MRI Images Using a Geometrically Customised Deep Convolution Model (GCDCM),Bhuvana R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0
computer vision,Machine learning-assisted fluorescence visualization for sequential quantitative detection of aluminum and fluoride ions,Zhang Q.,Journal of Environmental Sciences (China),2025-03-01,0
computer vision,Analyzing the Impact of Loss Functions on Dehazing Effectiveness and Unveiling the Discrepancy between Quantitative and Qualitative Results,Murtaza A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0
computer vision,Image Style Transfer Based On Generative Adversarial Network And Feature Transformation For Modern Home Design,Yue G.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Development Of An AMR Applying Cartographer Combined With Visual Odometry For Navigation,Huang C.C.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Relationship between spectral indices and quality parameters of tifton 85 forage,Souza J.F.,Revista Caatinga,2024-12-21,0
computer vision,RadioGalaxyNET: Dataset and novel computer vision algorithms for the detection of extended radio galaxies and infrared hosts,Gupta N.,Publications of the Astronomical Society of Australia,2024-12-11,1
computer vision,Fingerprint recognition using convolution neural network with inversion and augmented techniques,Garg R.,Systems and Soft Computing,2024-12-01,0
computer vision,Sgrgan: sketch-guided restoration for traditional Chinese landscape paintings,Hu Q.,Heritage Science,2024-12-01,0
computer vision,Light People: Professor Fanglin Bao and his cover story,Wang J.,Light: Science and Applications,2024-12-01,0
computer vision,Zero-shot insect detection via weak language supervision,Feuer B.,Plant Phenome Journal,2024-12-01,0
computer vision,Sign language recognition based on dual-path background erasure convolutional neural network,Zhang J.,Scientific Reports,2024-12-01,0
computer vision,A baseline structure inventory with critical attribution for the US and its territories,Yang H.L.,Scientific Data,2024-12-01,0
computer vision,Contagious infection-free medical interaction system with machine vision controlled by remote hand gesture during an operation,Truong V.D.,Computational and Structural Biotechnology Journal,2024-12-01,0
computer vision,Autonomous navigation and collision prediction of port channel based on computer vision and lidar,Zhang Z.,Scientific Reports,2024-12-01,0
computer vision,The Poses for Equine Research Dataset (PFERD),Li C.,Scientific Data,2024-12-01,0
computer vision,Optimizing deep learning-based segmentation of densely packed cells using cell surface markers,Han S.,BMC Medical Informatics and Decision Making,2024-12-01,0
computer vision,Molecular fingerprinting of biological nanoparticles with a label-free optofluidic platform,Stollmann A.,Nature Communications,2024-12-01,0
computer vision,Robust detection and refinement of saliency identification,Makram A.W.,Scientific Reports,2024-12-01,0
computer vision,Multi-class identification of tonal contrasts in Chokri using supervised machine learning algorithms,Gope A.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,A modular motion compensation pipeline for prospective respiratory motion correction of multi-nuclear MR spectroscopy,Wampl S.,Scientific Reports,2024-12-01,0
computer vision,Web-based diagnostic platform for microorganism-induced deterioration on paper-based cultural relics with iterative training from human feedback,Liu C.,Heritage Science,2024-12-01,0
computer vision,"An STS analysis of a digital humanities collaboration: trading zones, boundary objects, and interactional expertise in the DECRYPT project",Láng B.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,Computer vision models enable mixed linear modeling to predict arbuscular mycorrhizal fungal colonization using fungal morphology,Zhang S.,Scientific Reports,2024-12-01,0
computer vision,Ηand dexterities assessment in stroke patients based on augmented reality and machine learning through a box and block test,Papagiannis G.,Scientific Reports,2024-12-01,0
computer vision,Enhanced Segmentation of Ischemic Stroke Lesion in MRI Images Using a Geometrically Customised Deep Convolution Model (GCDCM),Bhuvana R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0
computer vision,Machine learning-assisted fluorescence visualization for sequential quantitative detection of aluminum and fluoride ions,Zhang Q.,Journal of Environmental Sciences (China),2025-03-01,0
computer vision,Analyzing the Impact of Loss Functions on Dehazing Effectiveness and Unveiling the Discrepancy between Quantitative and Qualitative Results,Murtaza A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0
computer vision,Image Style Transfer Based On Generative Adversarial Network And Feature Transformation For Modern Home Design,Yue G.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Development Of An AMR Applying Cartographer Combined With Visual Odometry For Navigation,Huang C.C.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0
computer vision,Relationship between spectral indices and quality parameters of tifton 85 forage,Souza J.F.,Revista Caatinga,2024-12-21,0
computer vision,RadioGalaxyNET: Dataset and novel computer vision algorithms for the detection of extended radio galaxies and infrared hosts,Gupta N.,Publications of the Astronomical Society of Australia,2024-12-11,1
computer vision,Fingerprint recognition using convolution neural network with inversion and augmented techniques,Garg R.,Systems and Soft Computing,2024-12-01,0
computer vision,Sgrgan: sketch-guided restoration for traditional Chinese landscape paintings,Hu Q.,Heritage Science,2024-12-01,0
computer vision,Light People: Professor Fanglin Bao and his cover story,Wang J.,Light: Science and Applications,2024-12-01,0
computer vision,Zero-shot insect detection via weak language supervision,Feuer B.,Plant Phenome Journal,2024-12-01,0
computer vision,Sign language recognition based on dual-path background erasure convolutional neural network,Zhang J.,Scientific Reports,2024-12-01,0
computer vision,A baseline structure inventory with critical attribution for the US and its territories,Yang H.L.,Scientific Data,2024-12-01,0
computer vision,Contagious infection-free medical interaction system with machine vision controlled by remote hand gesture during an operation,Truong V.D.,Computational and Structural Biotechnology Journal,2024-12-01,0
computer vision,Autonomous navigation and collision prediction of port channel based on computer vision and lidar,Zhang Z.,Scientific Reports,2024-12-01,0
computer vision,The Poses for Equine Research Dataset (PFERD),Li C.,Scientific Data,2024-12-01,0
computer vision,Optimizing deep learning-based segmentation of densely packed cells using cell surface markers,Han S.,BMC Medical Informatics and Decision Making,2024-12-01,0
computer vision,Molecular fingerprinting of biological nanoparticles with a label-free optofluidic platform,Stollmann A.,Nature Communications,2024-12-01,0
computer vision,Robust detection and refinement of saliency identification,Makram A.W.,Scientific Reports,2024-12-01,0
computer vision,Multi-class identification of tonal contrasts in Chokri using supervised machine learning algorithms,Gope A.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,A modular motion compensation pipeline for prospective respiratory motion correction of multi-nuclear MR spectroscopy,Wampl S.,Scientific Reports,2024-12-01,0
computer vision,Web-based diagnostic platform for microorganism-induced deterioration on paper-based cultural relics with iterative training from human feedback,Liu C.,Heritage Science,2024-12-01,0
computer vision,"An STS analysis of a digital humanities collaboration: trading zones, boundary objects, and interactional expertise in the DECRYPT project",Láng B.,Humanities and Social Sciences Communications,2024-12-01,0
computer vision,Computer vision models enable mixed linear modeling to predict arbuscular mycorrhizal fungal colonization using fungal morphology,Zhang S.,Scientific Reports,2024-12-01,0
computer vision,Ηand dexterities assessment in stroke patients based on augmented reality and machine learning through a box and block test,Papagiannis G.,Scientific Reports,2024-12-01,0
